date,country,Relative Demand
2017-12-01,All,0.5697980616386604
2018-01-01,All,0.5670861816699596
2018-02-01,All,0.5728539233828583
2018-03-01,All,0.5734207154326277
2018-04-01,All,0.570381018208925
2018-05-01,All,0.5680039404902805
2018-06-01,All,0.5682546097599536
2018-07-01,All,0.5696403394707642
2018-08-01,All,0.5703004359735853
2018-09-01,All,0.5728350444043117
2018-10-01,All,0.5751321326438967
2018-11-01,All,0.5748824409611639
2018-12-01,All,0.5756679362193964
2019-01-01,All,0.5769306659279184
2019-02-01,All,0.5800599955654051
2019-03-01,All,0.5825099547347502
2019-04-01,All,0.5851878043198455
2019-05-01,All,0.5874098396846494
2019-06-01,All,0.5905915661022522
2019-07-01,All,0.5922790319422145
2019-08-01,All,0.5928416135517792
2019-09-01,All,0.5923229894542018
2019-10-01,All,0.5895128534291857
2019-11-01,All,0.5932022852233696
2019-12-01,All,0.5944760704086351
2020-01-01,All,0.5944260260280342
2020-02-01,All,0.5977359036528974
2020-03-01,All,0.5961845284432928
2020-04-01,All,0.591696977373245
2020-05-01,All,0.5902676014598516
2020-06-01,All,0.5927450352230526
2020-07-01,All,0.5926422178968662
2020-08-01,All,0.592720074075698
2020-09-01,All,0.591704076118898
2020-10-01,All,0.5921920111087171
2020-11-01,All,0.5952829961183782
2020-12-01,All,0.5961188413941044
2021-01-01,All,0.6091859592259334
2021-02-01,All,0.5991117882051168
2021-03-01,All,0.5939919438150878
2021-04-01,All,0.5914253493874119
2021-05-01,All,0.5898821699752665
2021-06-01,All,0.5858671440442758
2021-07-01,All,0.5848294356446602
2021-08-01,All,0.5810257568388478
2021-09-01,All,0.5805643633113592
2021-10-01,All,0.5871802031124231
2021-11-01,All,0.5924232521784265
2021-12-01,All,0.5911212404670896
2022-01-01,All,0.5868136559819658
2022-02-01,All,0.5839545082735371
2022-03-01,All,0.5856052920219399
2022-04-01,All,0.5830215261231946
2022-05-01,All,0.5785218733596954
2022-06-01,All,0.5767480446092514
2022-07-01,All,0.5746501379635826
2017-12-01,USA,0.48771086622694304
2018-01-01,USA,0.4868430322698614
2018-02-01,USA,0.4860978968949149
2018-03-01,USA,0.48336964327451387
2018-04-01,USA,0.4807610922507525
2018-05-01,USA,0.48266669205010304
2018-06-01,USA,0.48390189326926164
2018-07-01,USA,0.4880578529881569
2018-08-01,USA,0.48661045177731016
2018-09-01,USA,0.4918861644730884
2018-10-01,USA,0.4970197670542559
2018-11-01,USA,0.4984900505077736
2018-12-01,USA,0.4997827961465029
2019-01-01,USA,0.5011430666367322
2019-02-01,USA,0.5036487624257949
2019-03-01,USA,0.5027434859226263
2019-04-01,USA,0.5054061464765155
2019-05-01,USA,0.5103681317551163
2019-06-01,USA,0.5138222109839065
2019-07-01,USA,0.5176209145298457
2019-08-01,USA,0.5164705996338403
2019-09-01,USA,0.51462395237842
2019-10-01,USA,0.5108129065370937
2019-11-01,USA,0.5108934015483841
2019-12-01,USA,0.508066399074642
2020-01-01,USA,0.5104014162519507
2020-02-01,USA,0.5128530409615363
2020-03-01,USA,0.5144039684528068
2020-04-01,USA,0.5170745060738833
2020-05-01,USA,0.5195994117726229
2020-06-01,USA,0.5215797609543918
2020-07-01,USA,0.5222201071141046
2020-08-01,USA,0.5221469714622119
2020-09-01,USA,0.5235870739749426
2020-10-01,USA,0.5256149636256607
2020-11-01,USA,0.5258655722188845
2020-12-01,USA,0.5234823460856715
2021-01-01,USA,0.5211697448781532
2021-02-01,USA,0.5195296890419848
2021-03-01,USA,0.5177286107056664
2021-04-01,USA,0.5207861947589099
2021-05-01,USA,0.5227903040652878
2021-06-01,USA,0.5211830747125725
2021-07-01,USA,0.519526620703266
2021-08-01,USA,0.5159097839040144
2021-09-01,USA,0.5151957558581445
2021-10-01,USA,0.5151957558581445
2021-11-01,USA,0.5151957558581445
2021-12-01,USA,0.5094598648679434
2022-01-01,USA,0.5081000892666918
2022-02-01,USA,0.5073030279993538
2022-03-01,USA,0.5047666182407905
2022-04-01,USA,0.5038181668289174
2022-05-01,USA,0.5050387289400827
2022-06-01,USA,0.5064816720259757
2022-07-01,USA,0.5074581463771473
2017-12-01,DEU,0.5260792836721782
2018-01-01,DEU,0.5278336761949248
2018-02-01,DEU,0.5306824150034045
2018-03-01,DEU,0.5323042864349798
2018-04-01,DEU,0.5304500049998966
2018-05-01,DEU,0.5285195465660476
2018-06-01,DEU,0.530651185442214
2018-07-01,DEU,0.5320146651461363
2018-08-01,DEU,0.5308045059346828
2018-09-01,DEU,0.5309412412795422
2018-10-01,DEU,0.530497308872427
2018-11-01,DEU,0.5333008623869425
2018-12-01,DEU,0.5397329033310515
2019-01-01,DEU,0.542583954463985
2019-02-01,DEU,0.5429324389396856
2019-03-01,DEU,0.5441955697736669
2019-04-01,DEU,0.5465427162726904
2019-05-01,DEU,0.5506596367240765
2019-06-01,DEU,0.5537009794619283
2019-07-01,DEU,0.5569956316502893
2019-08-01,DEU,0.5590159940957131
2019-09-01,DEU,0.5599127395064484
2019-10-01,DEU,0.5583664335186291
2019-11-01,DEU,0.5579978711610852
2019-12-01,DEU,0.5642858568173769
2020-01-01,DEU,0.5754621368403896
2020-02-01,DEU,0.5738724944122918
2020-03-01,DEU,0.5747188559006192
2020-04-01,DEU,0.5699034801514071
2020-05-01,DEU,0.5679698523336792
2020-06-01,DEU,0.5670301583681404
2020-07-01,DEU,0.5680054310498885
2020-08-01,DEU,0.569851402683229
2020-09-01,DEU,0.5727207191817407
2020-10-01,DEU,0.5765453413816596
2020-11-01,DEU,0.5837802904275007
2020-12-01,DEU,0.588216516148559
2021-01-01,DEU,0.5950503883986427
2021-02-01,DEU,0.5933691530604392
2021-03-01,DEU,0.5916819892227163
