date,country,Relative Demand
2017-12-01,All,0.7199654740600905
2018-01-01,All,0.7152925643663783
2018-02-01,All,0.7240926260829481
2018-03-01,All,0.7238860044724899
2018-04-01,All,0.7195127792978915
2018-05-01,All,0.71393302047911
2018-06-01,All,0.7142527407753302
2018-07-01,All,0.7150781404207859
2018-08-01,All,0.7180297652557847
2018-09-01,All,0.7236797862894728
2018-10-01,All,0.7261532600729038
2018-11-01,All,0.7256933092385542
2018-12-01,All,0.7269068364340591
2019-01-01,All,0.7284288543433892
2019-02-01,All,0.7320506736519022
2019-03-01,All,0.7337469986662859
2019-04-01,All,0.7370973113068097
2019-05-01,All,0.7409066374523261
2019-06-01,All,0.7464661997419761
2019-07-01,All,0.7498746550109724
2019-08-01,All,0.7504033808544358
2019-09-01,All,0.7520781613872959
2019-10-01,All,0.7497366414076364
2019-11-01,All,0.7527249317649117
2019-12-01,All,0.7558801109186488
2020-01-01,All,0.7573837028604149
2020-02-01,All,0.7608586589412845
2020-03-01,All,0.7601924411293937
2020-04-01,All,0.7571365484953616
2020-05-01,All,0.7556818949142401
2020-06-01,All,0.7597984993422008
2020-07-01,All,0.7614849943879379
2020-08-01,All,0.7671029841463979
2020-09-01,All,0.7683010518408528
2020-10-01,All,0.7725884947087425
2020-11-01,All,0.7791669234212246
2020-12-01,All,0.7812881509370844
2021-01-01,All,0.7919670924194785
2021-02-01,All,0.7820212136644601
2021-03-01,All,0.7777664082827388
2021-04-01,All,0.7759499305883636
2021-05-01,All,0.7753621085408509
2021-06-01,All,0.7704486455677629
2021-07-01,All,0.7677745128455641
2021-08-01,All,0.761914586679641
2021-09-01,All,0.7598307762575426
2021-10-01,All,0.7653585037608575
2021-11-01,All,0.7681043733248867
2021-12-01,All,0.7664512697153254
2022-01-01,All,0.7611153008903803
2022-02-01,All,0.755063257626149
2022-03-01,All,0.7556424223853657
2022-04-01,All,0.7506116687072767
2022-05-01,All,0.7441866097204362
2022-06-01,All,0.7391014659695033
2022-07-01,All,0.7369542843066932
2017-12-01,USA,0.6365174846871882
2018-01-01,USA,0.6337993303724775
2018-02-01,USA,0.6336409911989823
2018-03-01,USA,0.6294353570092819
2018-04-01,USA,0.6264768550449131
2018-05-01,USA,0.6290119160684507
2018-06-01,USA,0.6307059552689516
2018-07-01,USA,0.6377406998605902
2018-08-01,USA,0.636624679298722
2018-09-01,USA,0.6447457254160027
2018-10-01,USA,0.6511335620107501
2018-11-01,USA,0.6530150633921931
2018-12-01,USA,0.6527164695642726
2019-01-01,USA,0.6530320813872462
2019-02-01,USA,0.6575394839913676
2019-03-01,USA,0.6555919987135991
2019-04-01,USA,0.6576789850572299
2019-05-01,USA,0.6627238114101419
2019-06-01,USA,0.6674074389732494
2019-07-01,USA,0.6737983466804897
2019-08-01,USA,0.67086817159566
2019-09-01,USA,0.670272070869043
2019-10-01,USA,0.6650919830171584
